id;author;aff_id
7214541;Konstantinos Papangelis;17
7214542;Mahmud S. Shertil;151
7214543;Craig Sharp;106
7214544;Lucas Carstens;54
7214545;Chang-Tsun Li;144
7214546;Luana Micallef;175
7214547;Simon Price;90
7214548;Raul Espejo;94
7214549;Mustafa Aswad;66
7214550;Mohamed Misbah El-Khatib;146
7214551;Anthony Potter;192
7214552;Richard Tucker;69
7214553;Jisheng Lu;140
7214554;Georgios Sakellariou;127
7214555;Pakorn Kaewtrakulpong;92
7214556;Edmund Wadge;115
7214557;Dhavalkumar Thakker;4
7214558;Kate Ashton;82
7214559;Katie Li;72
7214560;Osama Hassan Youssef;12
7214561;Ali Vahit Sahiner;37
7214562;Anirban Bhattacharyya;72
7214563;Fadhil Alfarag;186
7214564;Daniel Wagner 0002;66
7214565;Osemeke Mosindi;79
7214566;Sarah Gordon Ford;88
7214567;Keith R. Thompson;65
7214568;Vijayashankar Sethuruman;132
7214569;Kevin M. Hogan;62
7214570;Latifa Al-Abdulkarim;69
7214571;Keming Hu;61
7214572;Saeed Masaud H. Alqahtani;182
7214573;Mahmood A. Khan;id
7214574;Paul Giaccone;127
7214575;Y. N. Abu-Shaaban;157
7214576;Hazem Kathem Qattous;16
7214577;Amr Adel Hassan Ahmed;23
7214578;Subrata Kumar Das;163
7214579;Muhammad Abdul Hakim Newton;62
7214580;Thomas Glyn Hinton;97
7214581;R. I. Ferguson;id
7214582;Daniel Keith Raymond McCormack;163
7214583;Paul A. V. Thomas;15
7214584;Stephen Christopher Kyle;130
7214585;Xun Wang 0005;171
7214586;Niruwan Turnbull;125
7214587;Rong Zhang 0001;140
7214588;G. Garrihy;111
7214589;Muhammad Afzal Bhatti;123
7214590;Yixin Li;69
7214591;James Davis 0013;156
7214592;Fábio Moreira Costa;12
7214593;David Lemor Pickup;155
7214594;Ilia Pietri;35
7214595;Mischa Moussavian Tuffield;159
7214596;Zhenhua Feng;131
7214597;Janet Elizabeth Finlay;17
7214598;Lee Gillam;112
7214599;John G. Kollias;74
7214600;Andrea Zisman;4
7214601;Adam Barnett;197
7214602;Tjeerd Olde Scheper;168
7214603;Leslie G. Valiant;53
7214604;Ting Wang 0011;56
7214605;Daniel Tang;193
7214606;Ao Shen;170
7214607;Xiaohui Zhang 0004;7
7214608;Chin-fu Hung;5
7214609;Theodoros Michalareas;7
7214610;Abdulrahman Alreshidi;144
7214611;Zsolt Levente Husz;184
7214612;Manuela Zanda;50
7214613;Yudong Wang;49
7214614;Menno Matthias Van Zaanen;141
7214615;Ashley Montanaro;148
7214616;Karin Sim Smith;122
7214617;Clement Petres;103
7214618;Emmanuel Ebuka Ibeke;79
7214619;Vincent Wan;191
7214620;Will Mepham;126
7214621;Alex Mason;199
7214622;Antonios A. Savidis;16
7214623;Geoffrey Richard Gray;185
7214624;Benoît Dupasquier;132
7214625;Claire Brierley;86
7214626;Roberto Desimone;197
7214627;Alonso Patron-Perez;44
7214628;A. E. Robinson;77
7214629;James Alexander Grove Annesley;37
7214630;Pasha Parpia;168
7214631;Hisham Al-Assam;4
7214632;Fragkiskos Sardis;160
7214633;Grant Friel;99
7214634;A. J. M. Guimaraes Rodrigues;101
7214635;Vladimir Nikishkin;127
7214636;Dan Casas Guix;101
7214637;Majed Alshamari;38
7214638;Robert Nicholas Maxwell Watson;79
7214639;Eshrag Refaee;57
7214640;Ravi Gauba;198
7214641;Fabio Simeoni;119
7214642;Julian A. Bailey;45
7214643;Rain Ashford;77
7214644;Konstantinos Koukouletsos;141
7214645;Isabel Sassoon;59
7214646;Yasumiko Cindy Tszyan Lo-Garry;65
7214647;Lukman Ab. Rahim;32
7214648;Sadiq Sani;13
7214649;Mohammed Shahid Anwer;180
7214650;Andrea DeMarco;23
7214651;Raymond J. Glover;175
7214652;Jose Luis Farah;99
7214653;Catherine Mary Sobhanpanah;140
7214654;Kian Shen Kiang;105
7214655;Grigorious Tziallas;77
7214656;Claire Julia Kennedy;84
7214657;Oliver Daniel Cooper;149
7214658;Sachi Arafat;44
7214659;Richard Stuart Hadley Piggin;128
7214660;Simon Richard Jones;180
7214661;Yujiao Zhou;17
7214662;Katy C. Noland;id
7214663;Kristopher Welsh;id
7214664;Sarah Cook 0001;87
7214665;Andrius Velykis;63
7214666;J. N. Ofulue;81
7214667;Craig J. Webb;34
7214668;Antony Edward Hofton;192
7214669;Georgia Garani;150
7214670;Lei Xu 0002;176
7214671;Alessio Lomuscio;81
7214672;Severin Andreas Thomas-Morus Fichtl;57
7214673;A. Johnson 0001;143
7214674;Najeed Ahmed Khan;26
7214675;Lama Al Khuzayem;97
7214676;John Charles Malone-Lee;25
7214677;Mohammad Manea Alyami;193
7214678;Yasser Abdel Kader;147
7214679;Shuai Zhao 0004;73
7214680;Hannah Rudman;186
7214681;Enda Ridge;16
7214682;Shahram Mohammadi;119
7214683;Dac Khoa Doan;95
7214684;Marc Drobek;164
7214685;Amei Li;115
7214686;Philip Vasey;67
7214687;Daoud Kassem Hilal;183
7214688;Malcolm Birtle;55
7214689;Philip M. Sleat;71
7214690;Aladdin Ayesh;25
7214691;Nikolay Burlutskiy;183
7214692;Kazeem Oluwakemi Oseni;141
7214693;C. P. Cheng;146
7214694;Michael Banbrook;112
7214695;Evgenij Thorstensen;47
7214696;Graham Morgan;148
7214697;Andrey Mokhov;199
7214698;Seyed Hassan Ghodsypour;188
7214699;Abobaker Salem;7
7214700;James Philip McMorran;19
7214701;Laura I. Meikle;187
7214702;Wilson Ifill;45
7214703;Dimitrios Vlachos;78
7214704;Niaz Morshed Chowdhury;158
7214705;Ulrike Spierling;135
7214706;Alex Louis Gill Hayzelden;51
7214707;Mike Reddy;12
7214708;Geoff Cutts;6
7214709;Ralf Brunner;197
7214710;Edward Nanakorn Turner;156
7214711;Paul-Amaury Matt;162
7214712;J. S. Smith;185
7214713;Samarasena Buchala;173
7214714;Feng Guo 0003;71
7214715;Javier Correa Villanueva;184
7214716;Giambattista Amati;24
7214717;Mark Sinclair;154
7214718;Maria Petridou;103
7214719;Iain William Finlay;113
7214720;John C. T. Hallam;102
7214721;Martin Bourne;140
7214722;Mingyou Hu;138
7214723;Carolyn Salimun;148
7214724;Soamsiri Chantaraskul;17
7214725;Moshe Deutsch;25
7214726;Ji Won Hwang;175
7214727;Lisa Marie Bartlett;21
7214728;Dave Harley;117
7214729;Neil Cook;32
7214730;Fatimah Adamu-Fika;140
7214731;Ioannis Georgiadis;18
7214732;Stephen M. Conway;173
7214733;Marios Constantinides;176
7214734;T. E. Shrimpton;81
7214735;Jingpeng Li;2
7214736;Jesse Michael Blum;152
7214737;Tagreed Alsulimani;186
7214738;Joanna K. Crosier;154
7214739;Adam James Stanton;181
7214740;John Mathenge Kanyaru;120
7214741;J. Cavalcanti;105
7214742;Simon Agamah;63
7214743;Edward Robinson;157
7214744;Zargham Haider;47
7214745;Peter C.-H. Cheng;164
7214746;A. A. Stavrinides;132
7214747;Varvara Logacheva;162
7214748;S. C. Wray;11
7214749;Joseph J. Britto;96
7214750;Sultan AlMotiri;163
7214751;Andrew J. Marsh;143
7214752;Adrian Friday;197
7214753;Thomas Rory Stone;188
7214754;Thomas James Woodchurch Clarke;136
7214755;Zhiqiang Xu;29
7214756;Samuel J. Webb;187
7214757;Jeremiah Smith;101
7214758;Riri Fitri Sari;50
7214759;Arpit Mittal;27
7214760;Alastair Neil Andrew;60
7214761;Simon Dobnik;169
7214762;Amirhassan Monadjemi;16
7214763;A. Hoare;76
7214764;Martin O'Shea;21
7214765;Helen E. Thomson;114
7214766;Peter Saffrey;52
7214767;Christian Dieter Grunler;189
7214768;Nick Barrow-Williams;1
7214769;Xiao Yang 0006;149
7214770;Xiang Li 0031;118
7214771;D. He;169
7214772;Katie Wilkie;119
7214773;David Wilson 0005;185
7214774;Adrian Venables;43
7214775;Peichang Zhang;62
7214776;Alice Toniolo;153
7214777;Gary S. C. Pan;47
7214778;Chen Gu;79
7214779;András Joó;137
7214780;Edward Toole;184
7214781;Philip Parry;157
7214782;Mark Roland Rawlinson;35
7214783;Xiantang Sun;179
7214784;P. Hooker;145
7214785;Anja Sisarica;10
7214786;Nicolaos Matsakis;93
7214787;Andrew James Barnes;183
7214788;A. N. Earl;44
7214789;Frank A. Martin;63
7214790;Stephen N. Cresswell;149
7214791;Rob Mills;36
7214792;Timothy A. Boyling;185
7214793;Graham Capper;83
7214794;Peter D. Hyde;157
7214795;Ian Philip Gent;172
7214796;Alexander Stolpmann;57
7214797;Tadas Baltrusaitis;61
7214798;S. Ranade;155
7214799;M. P. Moore;21
7214800;Timothy Alec Oliver;167
7214801;K. T. Narayana;37
7214802;Xiaoying Zhan;154
7214803;Savvas Makalias;9
7214804;Abbes Amira;170
7214805;Aleksandar Trifunovic;154
7214806;Michael J. Butler;60
7214807;Usman Naeem;89
7214808;Michael Cook;45
7214809;Theodoros Kapourniotis;14
7214810;Shane Wilson;126
7214811;Mike C. Fraser;127
7214812;G. C. Littlewort;32
7214813;Amin Merati;20
7214814;Paul Richmond;39
7214815;David C. C. Ong;137
7214816;Zhenzhuang Miao;20
7214817;Mark Jago;91
7214818;Charlotte Page;34
7214819;Ian Lewis;51
7214820;Andrew Peter McCabe;16
7214821;Yasser Alharbi;136
7214822;N. C. Megson;160
7214823;Daniel Leightley;96
7214824;Andrew Gareth Sunderland;149
7214825;Saleh Al-umaran;193
7214826;Michele Sama;95
7214827;Richard James Maude;10
7214828;Shakti Ranjan Tripathy;172
7214829;K. Garg;128
7214830;Qian Wang 0017;91
7214831;Joseph Fong;107
7214832;Dominic Brownin;52
7214833;Alban Rrustemi;107
7214834;Dhawal N. Thakker;177
7214835;Raman Ramsin;90
7214836;Babajide Ogunyomi;98
7214837;Petri Vitiello;43
7214838;Ben Smyth;52
7214839;Hai Hoang Nguyen;136
7214840;Mustafa Abdulrahman Jiffry;15
7214841;Richard Millham;40
7214842;Matthew Thomas Burt;88
7214843;Anthony P. Reeves;76
7214844;Peter Ashley Clifford Varley;86
7214845;Matt Duckham;9
7214846;Eugene Ch'ng;50
7214847;Abdulaziz I. Almajed;52
7214848;Nawat Kamnoonwatana;161
7214849;L. S. A. Mansi;95
7214850;Ruth Thompson;165
7214851;David Alfredo Fuller;107
7214852;Claudio V. Russo;64
7214853;Muhammad Adeel;74
7214854;Jason Alexis Valentine Crampton;9
7214855;Alexandre James Nasrallah;89
7214856;Martin Mariusz Lester;44
7214857;Majeed Soufian;45
7214858;Xueke Lu;80
7214859;Charalampos Rotsos;102
7214860;Martin Sepiol;150
7214861;Mohammed Zia Hayat;60
7214862;Varsha Veerappa;154
7214863;Mohamed Hamed Ismail Sedky;170
7214864;Wei Song 0009;148
7214865;Darren Gerard Reilly;154
7214866;Matthew D. A. Speed;107
7214867;Carl Ian Birkinshaw;8
7214868;Sarah Bastkowski;139
7214869;Youssef Hassoun;60
7214870;Ans Alghamdi;96
7214871;R. J. Castell;159
7214872;Khulood AlYahya;163
7214873;Bartlomiej W. Papiez;51
7214874;Graeme Coapes;141
7214875;Sue Fenley;96
7214876;S. S. Brown;146
7214877;Nazar Al-Hayani;85
7214878;John Walmsley;86
7214879;Beeta Vajar;159
7214880;Hassan Gomaa;99
7214881;Mark J. Winter;70
7214882;Cheryl Mary Jones;88
7214883;S. Johnstone;3
7214884;Mehdi Hosseini 0001;196
7214885;Wail M. Omar;191
7214886;Gihan R. Mudalige;15
7214887;Tao Gong 0002;195
7214888;Richard Southern;179
7214889;Paul Blain Levy;31
7214890;Mohammad A. Nabulsi;156
7214891;Stuart Gordon Robinson;2
7214892;Richard Withnell;182
7214893;Evgeny Kharitonov;108
7214894;Daniel Marsden;161
7214895;Darren Lee Buttle;197
7214896;Martin E. Bush;60
7214897;Howard J. Harris;5
7214898;Gabrielle Santos;40
7214899;Daniel Heesch;id
7214900;Balbir S. Bal;104
7214901;Daniel Bernhardt;195
7214902;Ilyas Bakbergenuly;131
7214903;Douglas Samuel Kirk;155
7214904;Tadashi Yamagata;144
7214905;Imran Sarwar Bajwa;115
7214906;Carl Nattrass;42
7214907;Ryan Beveridge;63
7214908;Abdunnaser Mohammed Segayer;191
7214909;Thomas Paul Perry;119
7214910;Efthimia Bilissi;146
7214911;Martin Stuart Jones;73
7214912;Carina Silberer;58
7214913;Jamie Furness;180
7214914;Loïc Dugast;144
7214915;Ian McLaughlan Green;144
7214916;A. G. Kilikas;143
7214917;Laurent Mathy;82
7214918;Belal Al-Jibouri;124
7214919;Michael J. Taylor;93
7214920;Alasdair D. Coull;53
7214921;Martyn Amos;193
7214922;Natasha Correia Queiroz Lino;81
7214923;Afnan Ullah Khan;107
7214924;Mohamed Mahyoub;177
7214925;Edgar Galván López;65
7214926;Nojood Obaidallah M. Aljehane;81
7214927;Vidya Narayanan;71
7214928;Rafidah Pakir Mohamad;12
7214929;Kashif Hameed;116
7214930;Rob Hague;77
7214931;Alexander Kaganovsky;157
7214932;Nathalie Louise Foster;175
7214933;Xiufeng Wang;103
7214934;Zacharias Bobolakis;193
7214935;Paul Vincent Mellor;id
7214936;Paul May;88
7214937;Xi Zhao;32
7214938;John V. H. Bonner;183
7214939;Nikolai Ptitsyn;148
7214940;Steven A. Battle;46
7214941;George Diakonikolaou;65
7214942;Colette Hume;69
7214943;Joanna L. Duligall;167
7214944;Nasser Alzeidi;194
7214945;David Harris Jacobson;124
7214946;Ghada Nasr Aly Hassan;29
7214947;Guoquan Liu;55
7214948;Farhad Mavaddat;110
7214949;Jeremy William Bryans;147
7214950;Kang Li 0002;159
7214951;Quoc Huy Vu;42
7214952;Helen Yannakoudakis;15
7214953;Jean Krohn;124
7214954;Libin Hong 0001;66
7214955;Wudong Liu;80
7214956;J. N. D. Whittle;60
7214957;Alex Qiang Chen;185
7214958;Renato Vicente;107
7214959;Andrew James McKinlay;178
7214960;Andrew Ian Coles;165
7214961;Jiong Zhou;59
7214962;Felicia Li Chin Ong;58
7214963;Pedro Fernando De Oliveira Salazar Ribeiro;167
7214964;Michael P. Gilroy;29
7214965;Mansoor Ahmed Hassan;171
7214966;Craig McKenzie;56
7214967;Ahmed Alzahrani 0002;40
7214968;Shayma Alani;147
7214969;Stylianos Papanastasiou;96
7214970;G. C. E. Winn;144
7214971;Inhwa Kim;66
7214972;David Jesse Finnegan;64
7214973;Haozhe Wang;16
7214974;Areeb Alowisheq;152
7214975;Vivekanand Govinda;157
7214976;Moustafa Noureddine;24
7214977;Wayne Daniel Lister;180
7214978;Sultan Alyahya;13
7214979;Michael Sapienza;123
7214980;Oussama Metatla;177
7214981;R. E. Gowley;80
7214982;Nurul Amin Badrul;148
7214983;John N. Wilson;10
7214984;Peng Jiang 0001;149
7214985;Stephen Gerald Probets;45
7214986;Bonnington Methuin Novello Clarke;20
7214987;Liang-Ting Chen;190
7214988;Liyang Hu;99
7214989;Marc-Laurent Aird;140
7214990;Ioannis Giagkiozis;156
7214991;Syed Naveed Ahsan;126
7214992;Thomas Saunders;8
7214993;Nasreddine Tabet-Aouel;46
7214994;Karsten Molka;107
7214995;Chun-Hsing Chen;70
7214996;Teck Yan Tan;73
7214997;Ian Benson;181
7214998;Lenka Mudrová;24
7214999;Lee Kuan Heng;102
7215000;Maryam Najafian;124
7215001;Nikolaos Kazazakis;169
7215002;Somasundaram Ravindran;198
7215003;Stephanie Chua;34
7215004;Joan D. Walker;5
7215005;Zaher Salah;88
7215006;Jason Christian Peters;123
7215007;Ragab Basher Ihnissi;171
7215008;Shanshan Yang;77
7215009;Wenwen Li 0003;14
7215010;Lu Ming Lai;174
7215011;Alex King;64
7215012;T. J. G. Benson;55
7215013;Orlena Cara Zena Gotel;76
7215014;Robin Barker;181
7215015;Frank Schlimbach;51
7215016;Silvio Romero de Lemos Meira;35
7215017;Xin Chen 0014;62
7215018;Ayesh Alshukri;183
7215019;Richard Polfreman;55
7215020;Ahmed Maache;16
7215021;Arun Kannath;141
7215022;Vakulathil Abdurahiman;86
7215023;Mark Alexander Edward Beaumont;149
7215024;Xiaoran Han;36
7215025;Patricia Charlton;158
7215026;Jose I. Nunez-Varela;118
7215027;Edward Joseph Fergus;46
7215028;Yang Wang 0037;105
7215029;Pedro Barbosa;80
7215030;Vassilios Liatsos;33
7215031;Daniel Goldsmith;26
7215032;Patricia H. Shaw;168
7215033;Tom Kelly;49
7215034;Wei-Ngan Chin;58
7215035;Todd Papaioannou;63
7215036;Armin Lehmann;151
7215037;Nicholas Papadopoulos;154
7215038;P. H. Mills;33
7215039;Omar Kurdi;169
7215040;A. Bamford;166
7215041;Huibin Shi;70
7215042;Michael May 0002;66
7215043;Gareth P. McSorley;64
7215044;Sohana Jahan;143
7215045;Liming Gong;141
7215046;Gareth Lyle Jones;129
7215047;Pawel Swietojanski;18
7215048;Amar Hadzihasanovic;24
7215049;Vasileios Germanos;188
7215050;Eamonn Lavery;195
7215051;Victoria Shipp;115
7215052;Somkiat Wangsiripitak;165
7215053;R. E. H. Bywater;35
7215054;Peter K. Oriogun;63
7215055;M. S. Laghari;190
7215056;Nenad Marovac;112
7215057;Poh Khoon Ernie Lee;12
7215058;Lewis Eric Hibell;48
7215059;Scott Blunsden;72
7215060;Stuart Butterfield;147
7215061;Richard Bramwell Hibberd;43
7215062;Ahmad Al-Mazeed;151
7215063;Rashid Bakirov;81
7215064;Ali Hassan 0001;10
7215065;Frank Nebel;122
7215066;John Owens;19
7215067;Yaw Bang Low;191
7215068;Theofanis Apostolopoulos;40
7215069;Suliman M. Mohamed;173
7215070;Martin Dunmore;78
7215071;Fariba Sadri;112
7215072;Richard Leggett;139
7215073;Behnam Minbashian;159
7215074;Marcel Odhiambo;161
7215075;Lai-Sze Au;114
7215076;Edward Gatt;121
7215077;A. J. Morgan;29
7215078;Derek Wade Reinhardt;83
7215079;Anne-Marie Mann;101
7215080;Konstantinos Sirlantzis;138
7215081;A. R. Jackson;28
7215082;Vineet R. Khare;150
7215083;Antony Francis Bowers;163
7215084;David Gordon Cameron;35
7215085;Naila Yasmeen Rahman;15
7215086;Peter Duncan Wallace;115
7215087;George Pallis;154
7215088;Alcides Calsavara;50
7215089;P. Lockley;75
7215090;Ayman Ahmad Yousef Issa;139
7215091;James Raymond Blow;94
7215092;Stephen T. Hassard;39
7215093;Ka Yiu Yeung;51
7215094;Daniyar Turmukhambetov;139
7215095;Fucheng Yang;120
7215096;Brian Harrington 0001;51
7215097;Peter Young;131
7215098;Hao Cai;175
7215099;M. T. Pezarro;73
7215100;Steven John Kerr;34
7215101;Raphael Kominis;66
7215102;Rafael Borges;98
7215103;Syamsiah Mashohor;120
7215104;Daniele Masato;131
7215105;Muthupandi Ramachandran;108
7215106;Si Qiao;46
7215107;Robert Hunter;154
7215108;Areej Zuhily;30
7215109;Alexandru Popa 0001;4
7215110;R. J. G. Edwards;68
7215111;Gonghui Zheng;94
7215112;Ettore Ferranti;73
7215113;Bo Gao 0001;38
7215114;Mohamad Farazi Johari;171
7215115;Matthew J. Fairman;106
7215116;Peter Fletcher 0002;88
7215117;Quan Chu Dang;189
7215118;Jason P. Smith;84
7215119;Martin P. Parsley;131
7215120;Lamya Daghestani;177
7215121;Richard D. Seely;149
7215122;Ramon Bradley Sargeant;23
7215123;Bowei Chen;149
7215124;Jonathan M. Garibaldi;80
7215125;Peter J. Knaggs;198
7215126;Noohul Basheer Zain Ali;23
7215127;Pablo H. Ibargüengoytia;134
7215128;Daniel Paul Jenkins;38
7215129;Mafawez T. Alharbi;117
7215130;Mashael Maashi;77
7215131;Khalid Jalal Mhana;154
7215132;William A. P. Smith;165
7215133;Stephen Michael Lea;11
7215134;Nikola Milosevic;113
7215135;Choon-Ching Ng;192
7215136;Peter J. King;43
7215137;Steven Oliver Smith;60
7215138;Markus Becker 0002;99
7215139;Farhana Sarker;117
7215140;Yulan Liu;113
7215141;Paul Holmes-Higgin;193
7215142;Kumutha Swampillai;85
7215143;Lam Aun Cheah;195
7215144;Thomas Joseph Duffy;41
7215145;Wenjun Sun;184
7215146;Richard Thompson;112
7215147;Alexander Fargus;10
7215148;Martin Wonders;132
7215149;F. J. Wales;81
7215150;Anthony Shi-Sheung Fong;25
7215151;Francesco Vivarelli;104
7215152;Glyn Carter;124
7215153;T. A. Chua;168
7215154;Lee Johnston;16
7215155;Marcelo Paiva Fontenele;104
7215156;Tal Sobol Shikler;162
7215157;G. A. Turkington;135
7215158;James Reynolds;100
7215159;Nikolaos Floros;121
7215160;Arijit Mukherjee;51
7215161;Nava Tintarev;91
7215162;Patrick Koopmann;67
7215163;Andrew Robert Thomas Ormsby;158
7215164;Norlaily Yaacob;138
7215165;Edward Tersoo Apeh;80
7215166;Tony Glover;198
7215167;Huw William Bristow;168
7215168;R. N. Cuff;71
7215169;Dorian James Rutter;48
7215170;Guy R. E. S. Saward;87
7215171;Lance Craig Walton;148
7215172;Jonathan Fredland;160
7215173;Matthew Dale;106
7215174;P. S. Dhillon;147
7215175;Philip Thomas Ashton;45
7215176;Devi Thirupathi;187
7215177;Lorenzo Vigentini;176
7215178;Benjamin Russell;189
7215179;Yingyi Chu;169
7215180;Amy Winters;102
7215181;Nigel Malcolm Blackie;54
7215182;Anna Ingólfsdóttir;135
7215183;A. Teruel;29
7215184;Yousef Abushnagh;123
7215185;Sandeep Katragadda;133
7215186;Timur Almaev;29
7215187;Desmond Greer;167
7215188;Jacqueline John George;135
7215189;Dulani Apeksha Meedeniya;163
7215190;Sze-Yeung Liu;30
7215191;Cleanthis N. Eleftheratos;91
7215192;Loredana Laera;168
7215193;Richard T. J. Bostock;72
7215194;Eustace Painkras;135
7215195;George J. Milne;165
7215196;James S. Briggs;100
7215197;Kyriakos Poyias;129
7215198;Steven Houben;24
7215199;S. K. Sieh;22
7215200;Howard Lee;121
7215201;Sammy Siu;39
7215202;Timothy C. Hender;99
7215203;Andrea Arcuri;115
7215204;Andrew J. Elmsley;189
7215205;M. A. Stella-Sawicki;173
7215206;Ignacio Eduardo Laplagne;84
7215207;Rachel Cavill;105
7215208;Aziem Chawdhary;13
7215209;Muddasser Alam;142
7215210;Simon R. Monk;49
7215211;Aitor Apaolaza;127
7215212;Amjad Shaheed;104
7215213;Aristeidis Tsitiridis;93
7215214;Stephen McKeague;121
7215215;Vijay Solanki;140
7215216;Lin Li 0027;121
7215217;Donna Peacock;78
7215218;David Boland;16
7215219;Hamdullah Mohib;60
7215220;Syed Fahad Tahir;189
7215221;Maryhilda Heidi McClure;64
7215222;Peiyi Shen;16
7215223;Theocharis Tsigkritis;142
7215224;Terence Min Khian Song;62
7215225;Mohammed Algarawi;86
7215226;Yanbo Justin Wang;35
7215227;Ross McNaughton;69
7215228;Kanta Premji Vekaria;55
7215229;Andrew Donald Gordon;182
7215230;King Wai Lau;100
7215231;Michael John Knowles;38
7215232;Alexandru Cristian Tudose;158
7215233;Pierre Bourque;149
7215234;Roger Anthony Noble;114
7215235;Asim Yuzbasioglu;44
7215236;Connie Elizabeth Scarrott;159
7215237;Michael D. J. McNeill;73
7215238;Lawrence Alexander Thirkell;4
7215239;Mark Ashdown;56
7215240;Peter Stordy;144
7215241;Lianne F. S. Meah;97
7215242;Othman Mohamed A. Esoul;100
7215243;Michael A. E. Wright;35
7215244;T. S. Hughes;199
7215245;Nathaniel John King;131
7215246;Luis A. Torres-Salomao;96
7215247;Nichola Jane Salmons;60
7215248;John A. Mariani;29
7215249;Phillip Olla;135
7215250;Martin L. Gill;100
7215251;Martin John Turner;114
7215252;Robert Scott Mitchell;93
7215253;Philip Richard Spencer Nickoll;124
7215254;Hayssam N. Traboulsi;14
7215255;Damon Anthony Chaplin;172
7215256;Lindsey Howell;17
7215257;Andrew Dingwall-Smith;155
7215258;Rodrigo Lamas Vieira Pinto;185
7215259;Elhadj Benkhelifa;138
7215260;J. Strother Moore;172
7215261;Simon Alex Charles;129
7215262;Miao Yu 0001;41
7215263;Afizan Azman;158
7215264;Kamalasen Rajalingham;102
7215265;Alireza Ahmadyfard;59
7215266;Philip J. McParlane;50
7215267;Cai Wingfield;88
7215268;Alvard Enrique Arenas-Sarmiento;21
7215269;David W. Smith;4
7215270;Erfan Loweimi;29
7215271;James Finney;35
7215272;Sam Coates-Stephens;39
7215273;Yuyi Wang 0002;177
7215274;Keith Bearpark;187
7215275;Dennis Stuart William Tansley;134
7215276;Mohd. Hanafi Ahmad Hijazi;30
7215277;Martin J. Shepperd;76
7215278;Issa Mohammad Qabajeh;176
7215279;Sylwia Frankowska-Takhari;156
7215280;Mike Dodds;48
7215281;Robert T. Hughes;47
7215282;Faiz Sayyid;37
7215283;Michael Denzel;88
7215284;Daniel Robinson;103
7215285;Ioana Sporea;141
7215286;Suad Almualla;128
7215287;Fahim Ahmed;187
7215288;Arthorn Luangsodsai;68
7215289;Christofas Stergianos;52
7215290;Sevtap Cinan;139
7215291;Joseph B. Evans;41
7215292;Zhongming Cai;95
7215293;Haresh S. Kainth;135
7215294;C. Morgan;182
7215295;Bernardi Pranggono;144
7215296;Jennie Palmer;173
7215297;Christopher Hillman;108
7215298;Davide Zilli;188
7215299;David M. Berry;19
7215300;Pinar Satilmis;142
7215301;Ilia Nouretdinov;89
7215302;Athena Stassopoulou;64
7215303;M. Shirantha de Silva;130
7215304;Babangida Albaba Abubakar;27
7215305;George Mekhael El-Murr;86
7215306;F. W. M. Stentiford;36
7215307;S. Sehat Niakis;130
7215308;Peter Jeffry Smith;121
7215309;Ognen Paunovski;140
7215310;Choo Leng Koh;68
7215311;Dong Li 0012;155
7215312;Anthony John Hirst;187
7215313;Peter William Longhurst;22
7215314;Christopher Leach;3
7215315;N. M. Levy;51
7215316;Neal Andrew Harman;122
7215317;M. J. Tranter;192
7215318;Alberto E. Schaeffer Filho;199
7215319;Azira Ab Aziz;97
7215320;Aidan Bernard Gerard Chalk;17
7215321;Janet Susan Payne;29
7215322;Haider Raza;31
7215323;Nadeem Anjum;5
7215324;Raphaël Clifford;28
7215325;James Benson;196
7215326;John Francis Wright;59
7215327;Zahran Halim;19
7215328;Anastasios Noulas;165
7215329;I. E. Douglas;11
7215330;Martin Brigham;75
7215331;C. J. Dollin;128
7215332;Adolfo J. Socorro Ramos;170
7215333;A. Boucher;175
7215334;Thomas Merritt;23
7215335;Hussam Suliman;71
7215336;Fuad Khalef;30
7215337;James M. Brown 0001;134
7215338;Guofu Xiang;92
7215339;Shay Ping Seng;1
7215340;Salem Abod-her;59
7215341;Boran Gazi;69
7215342;Simon Kestner;52
7215343;Noor Fazilla Abd Yusof;64
7215344;P. J. Broadbent;162
7215345;Paul Lunau;8
7215346;Christopher H. Broadbent;120
7215347;Rozaida Ghazali;114
7215348;Farha Naz Lakhani;170
7215349;Jerome Corre;160
7215350;Kasim Tasdemir;127
7215351;Martin Andrew Ellis;99
7215352;Brandon Bennett;97
7215353;Fahren Bukhari;100
7215354;Ali Alinejad;25
7215355;A. A. Kaposi;158
7215356;Wenzhe Zhou;171
7215357;Lauren Norrie;119
7215358;Mahmoud Moadeli;71
7215359;Kian Ping Chan;90
7215360;Sattam S. Al-Riyami;27
7215361;Luiz Eduardo Buzato;128
7215362;Karsten Seipp;83
7215363;Einar Pius;69
7215364;Ahmed Saleh 0002;4
7215365;Chi-Kin Chau;85
7215366;Christos Georgakis 0001;194
7215367;Benjamin Ultan Cowley;91
7215368;Yuemei Li;177
7215369;Sunando Sengupta;189
7215370;Charles Fox;31
7215371;David Brazier;166
7215372;Andrew Salway;192
7215373;Ashkan Tousimojarad;90
7215374;Saad Sabih Ahmed Medhat;172
7215375;Simon A. Dobson;53
7215376;Fergus R. McInnes;59
7215377;Ivan Vaghi;44
7215378;Jim Grundy;50
7215379;Damien Robert Copeland;148
7215380;Bjarne Stroustrup;60
7215381;Timothy J. Miles-Board;17
7215382;Yi Yang 0011;116
7215383;Jahan Issapour;45
7215384;Marina Carter;150
